Flap Position,Flap Angle,alpha,CL,Cm,CD,CL/CD,dCm/dalpha,Static Margin,Cm<0,dCm/da<0,SM>0,All Stable
0.7,4,0.7,0.445,-0.1435,0.01904,23.376,-0.09442,0.3462,True,True,True,True
0.0,2,2.3,0.6227,-0.0196,0.02672,23.308,-0.18663,0.8314,True,True,True,True
0.7,4,2.1,0.6051,-0.2353,0.02597,23.304,-0.09686,2.5247,True,True,True,True
0.65,0,4.4,0.813,-0.0193,0.0349,23.295,-0.01386,3.9516,True,True,True,True
0.0,2,2.7,0.6223,-0.0196,0.02672,23.293,-0.29753,1.3558,True,True,True,True
0.75,4,2.2,0.6085,-0.2103,0.02615,23.27,-0.13268,0.8093,True,True,True,True
0.65,0,4.5,0.8137,-0.0193,0.03497,23.27,-0.01481,4.2219,True,True,True,True
0.7,4,1.8,0.6019,-0.2185,0.02587,23.265,-0.17446,0.6882,True,True,True,True
0.7,4,1.6,0.5522,-0.2051,0.02374,23.262,-0.00748,0.886,True,True,True,True
0.65,0,4.7,0.8137,-0.0228,0.03498,23.262,-0.07795,0.2733,True,True,True,True
0.7,4,1.9,0.6045,-0.2411,0.02602,23.234,-0.08399,5.5625,True,True,True,True
0.7,4,2.2,0.6126,-0.2547,0.02638,23.223,-0.12577,0.678,True,True,True,True
0.75,4,1.5,0.5432,-0.1581,0.0234,23.209,-0.00177,2.6864,True,True,True,True
0.75,4,1.6,0.5432,-0.1581,0.0234,23.209,-0.00571,0.0822,True,True,True,True
0.75,4,0.4,0.436,-0.1007,0.01881,23.185,-0.12287,1.0959,True,True,True,True
0.75,4,0.5,0.4362,-0.1007,0.01882,23.182,-0.00017,0.1625,True,True,True,True
0.75,4,1.8,0.5939,-0.1727,0.02562,23.181,-0.16596,0.8585,True,True,True,True
0.75,4,0.7,0.4357,-0.1007,0.01882,23.155,-0.08165,0.3004,True,True,True,True
0.75,4,1.9,0.5958,-0.1924,0.02577,23.12,-0.09888,9.5056,True,True,True,True
0.65,4,2.1,0.6103,-0.2526,0.02645,23.077,-0.06356,1.6034,True,True,True,True
0.65,4,1.9,0.61,-0.2584,0.02645,23.067,-0.1304,4.9578,True,True,True,True
0.7,4,1.3,0.5528,-0.1709,0.02396,23.067,-0.21591,1.9946,True,True,True,True
0.75,4,1.3,0.5437,-0.1262,0.0236,23.037,-0.19853,2.0847,True,True,True,True
0.65,4,1.6,0.5593,-0.2224,0.02431,23.009,-0.00171,0.2031,True,True,True,True
0.65,4,2.2,0.618,-0.2711,0.02686,23.009,-0.11137,0.6864,True,True,True,True
0.75,2,3.3,0.723,-0.1073,0.03144,22.996,-0.10647,0.3876,True,True,True,True
0.65,4,1.8,0.6048,-0.2323,0.02631,22.985,-0.17348,0.7098,True,True,True,True
0.0,4,2.3,0.6479,-0.2462,0.02824,22.938,-0.16584,0.914,True,True,True,True
0.65,2,3.3,0.7306,-0.1367,0.03187,22.927,-0.10301,0.3803,True,True,True,True
0.65,4,1.4,0.5595,-0.2231,0.0244,22.925,-0.17863,15.8135,True,True,True,True
0.75,2,3.7,0.7238,-0.1067,0.03161,22.894,-0.16798,0.6387,True,True,True,True
0.0,2,2.8,0.6662,-0.0791,0.0291,22.893,-0.29753,1.3558,True,True,True,True
0.0,2,3.2,0.6658,-0.0791,0.0291,22.879,-0.10007,0.3555,True,True,True,True
0.0,4,0.8,0.5078,-0.1252,0.0222,22.874,-0.20055,0.6252,True,True,True,True
0.75,4,1.1,0.4903,-0.1171,0.02145,22.861,-0.00457,0.0271,True,True,True,True
0.7,2,3.3,0.7274,-0.1317,0.03185,22.841,-0.10449,0.3868,True,True,True,True
0.0,4,1.6,0.5663,-0.1738,0.02481,22.824,-0.00364,0.1338,True,True,True,True
0.75,4,1.7,0.5571,-0.1592,0.02443,22.809,-0.07279,0.2871,True,True,True,True
0.65,4,0.3,0.4274,-0.1455,0.01874,22.804,-0.12775,0.5352,True,True,True,True
0.65,4,1.1,0.5068,-0.1798,0.02223,22.803,-0.00048,0.003,True,True,True,True
0.0,4,0.3,0.4221,-0.0699,0.01851,22.801,-0.07838,0.3363,True,True,True,True
0.0,0,4.7,0.8042,-0.0024,0.03528,22.795,-0.11496,0.4936,True,True,True,True
0.7,4,0.3,0.422,-0.1196,0.01851,22.791,-0.16899,0.6932,True,True,True,True
0.65,4,1.3,0.5572,-0.1876,0.02446,22.785,-0.2196,2.0889,True,True,True,True
0.0,4,1.8,0.6166,-0.1859,0.02706,22.784,-0.18496,0.7308,True,True,True,True
0.7,2,3.7,0.7274,-0.1317,0.03193,22.779,-0.16784,0.611,True,True,True,True
0.7,4,0.8,0.4995,-0.1624,0.02193,22.774,-0.09442,0.3462,True,True,True,True
0.7,4,0.9,0.4995,-0.1624,0.02193,22.774,-0.00364,4.1215,True,True,True,True
0.75,4,0.3,0.4138,-0.0762,0.0182,22.735,-0.16387,0.6908,True,True,True,True
0.75,4,1.2,0.524,-0.118,0.02305,22.734,-0.04562,0.1708,True,True,True,True
0.0,4,1.3,0.563,-0.1342,0.02478,22.721,-0.24635,2.099,True,True,True,True
0.65,2,3.7,0.7306,-0.1377,0.03217,22.713,-0.1856,0.69,True,True,True,True
0.7,4,2.4,0.6582,-0.2697,0.029,22.7,-0.0374,0.4645,True,True,True,True
0.75,4,0.8,0.4906,-0.1171,0.02162,22.696,-0.08405,0.3054,True,True,True,True
0.0,4,1.9,0.6187,-0.212,0.02728,22.674,-0.1304,12.951,True,True,True,True
0.0,4,2.1,0.6187,-0.212,0.02728,22.674,-0.09242,2.4201,True,True,True,True
0.65,4,1.0,0.5066,-0.1791,0.02234,22.674,-0.00364,4.1215,True,True,True,True
0.65,4,0.9,0.5066,-0.1791,0.02234,22.674,-0.01526,12.1587,True,True,True,True
0.65,4,0.8,0.5064,-0.176,0.02234,22.668,-0.08466,0.2973,True,True,True,True
0.7,4,1.2,0.5307,-0.1625,0.02342,22.659,-0.04087,0.1527,True,True,True,True
0.7,4,2.8,0.7091,-0.2662,0.03129,22.658,-0.2205,0.8577,True,True,True,True
0.65,4,1.2,0.5384,-0.1792,0.02378,22.643,-0.03915,0.1553,True,True,True,True
0.75,0,5.2,0.8787,-0.0363,0.03881,22.639,-0.11589,0.4315,True,True,True,True
0.65,4,2.8,0.7139,-0.2858,0.03154,22.637,-0.20529,0.8162,True,True,True,True
0.0,4,2.2,0.6263,-0.2305,0.02768,22.628,-0.17095,1.1707,True,True,True,True
0.75,0,5.1,0.8776,-0.0348,0.03882,22.61,-0.09413,11.8833,True,True,True,True
0.75,2,4.2,0.7905,-0.1421,0.03497,22.605,-0.1669,0.526,True,True,True,True
0.75,0,4.8,0.8777,-0.0176,0.03883,22.603,-0.06424,0.2746,True,True,True,True
0.65,4,2.7,0.6645,-0.2862,0.0294,22.603,-0.00275,0.0111,True,True,True,True
0.75,6,0.4,0.4475,-0.2959,0.0198,22.596,-0.09705,3.7746,True,True,True,True
0.7,4,3.2,0.7117,-0.3144,0.03151,22.588,-0.03112,0.1297,True,True,True,True
0.75,6,1.4,0.5659,-0.3252,0.02506,22.58,-0.06797,2.4255,True,True,True,True
0.75,0,5.0,0.8771,-0.0175,0.03885,22.579,-0.08615,36.4138,True,True,True,True
0.75,2,3.8,0.7767,-0.1403,0.03443,22.557,-0.16899,0.6411,True,True,True,True
0.75,4,2.8,0.6993,-0.2325,0.03101,22.554,-0.21324,0.8193,True,True,True,True
0.7,6,0.4,0.457,-0.3592,0.02026,22.552,-0.07027,6.6473,True,True,True,True
0.7,6,0.5,0.457,-0.3588,0.02028,22.533,-0.00645,0.0374,True,True,True,True
0.75,4,2.4,0.6479,-0.2331,0.02876,22.524,-0.07238,1.0582,True,True,True,True
0.75,2,4.1,0.7765,-0.1404,0.03448,22.522,-0.00865,0.1233,True,True,True,True
0.7,4,2.9,0.7099,-0.3107,0.03153,22.517,-0.22297,53.8274,True,True,True,True
0.7,4,3.1,0.7099,-0.3107,0.03153,22.517,-0.01834,2.0565,True,True,True,True
0.75,4,3.2,0.7018,-0.2782,0.03119,22.505,-0.03348,0.1369,True,True,True,True
0.75,4,2.9,0.7001,-0.2731,0.03112,22.501,-0.20285,50.4357,True,True,True,True
0.65,4,0.2,0.4017,-0.1369,0.01786,22.496,-0.07064,0.5015,True,True,True,True
0.65,4,3.2,0.7172,-0.3335,0.03191,22.472,-0.04319,0.1735,True,True,True,True
0.0,4,0.2,0.397,-0.0694,0.01767,22.471,-0.03024,0.2192,True,True,True,True
0.65,4,2.9,0.7148,-0.3272,0.03181,22.467,-0.2,41.7036,True,True,True,True
0.75,6,1.3,0.5662,-0.328,0.02522,22.45,-0.04385,0.4315,True,True,True,True
0.7,4,0.2,0.396,-0.1101,0.01764,22.45,-0.07821,0.5455,True,True,True,True
0.75,4,3.1,0.7001,-0.2737,0.03119,22.45,-0.02526,2.9211,True,True,True,True
0.0,4,1.2,0.5391,-0.125,0.02402,22.445,-0.04484,0.1625,True,True,True,True
0.75,4,3.3,0.749,-0.2804,0.03339,22.431,-0.07736,0.3264,True,True,True,True
0.7,0,5.1,0.8828,-0.0482,0.03936,22.429,-0.08249,4.0671,True,True,True,True
0.65,4,2.4,0.6588,-0.2892,0.02937,22.426,-0.06217,0.5751,True,True,True,True
0.7,2,3.8,0.7824,-0.1648,0.0349,22.42,-0.16573,0.6064,True,True,True,True
0.75,4,0.2,0.3886,-0.0679,0.01733,22.417,-0.08139,0.5821,True,True,True,True
0.75,4,2.7,0.6481,-0.2305,0.02891,22.417,-0.01187,0.0463,True,True,True,True
0.65,4,3.1,0.7149,-0.3258,0.03189,22.416,-0.03846,3.4166,True,True,True,True
0.7,0,5.2,0.8822,-0.0481,0.03937,22.406,-0.0723,0.2767,True,True,True,True
0.65,4,-0.2,0.4003,-0.1314,0.01789,22.38,-0.0974,0.2878,True,True,True,True
0.7,4,1.7,0.5538,-0.2062,0.02475,22.379,-0.06732,0.2712,True,True,True,True
0.7,2,4.2,0.7826,-0.165,0.03497,22.378,-0.14903,0.6692,True,True,True,True
0.7,2,4.1,0.7826,-0.1648,0.03497,22.378,-0.00101,0.3646,True,True,True,True
0.65,6,0.5,0.4617,-0.3905,0.02064,22.373,-0.00645,0.0368,True,True,True,True
0.75,6,1.0,0.5261,-0.3119,0.02352,22.37,-0.05459,7.6853,True,True,True,True
0.65,2,3.8,0.7844,-0.1752,0.03507,22.369,-0.18972,0.7054,True,True,True,True
0.65,4,0.1,0.3992,-0.1314,0.01786,22.358,-0.02771,2.2443,True,True,True,True
0.0,6,0.5,0.4559,-0.3717,0.0204,22.347,-0.00872,0.0452,True,True,True,True
0.0,4,-0.2,0.3961,-0.0637,0.01773,22.346,-0.16923,0.4609,True,True,True,True
0.7,6,1.4,0.5764,-0.3929,0.0258,22.338,-0.05987,1.6622,True,True,True,True
0.7,6,1.3,0.5764,-0.3929,0.0258,22.338,-0.04484,0.3861,True,True,True,True
0.0,4,0.1,0.3946,-0.0639,0.01767,22.332,-0.02876,3.0204,True,True,True,True
0.7,0,5.0,0.8781,-0.0316,0.03936,22.311,-0.07908,1.1042,True,True,True,True
0.7,4,-0.2,0.3942,-0.1039,0.01767,22.311,-0.10036,0.2944,True,True,True,True
0.0,2,3.8,0.7871,-0.1469,0.03529,22.301,-0.21748,0.6849,True,True,True,True
0.7,4,0.1,0.3933,-0.1039,0.01764,22.295,-0.0308,2.254,True,True,True,True
0.75,4,-0.2,0.3867,-0.0599,0.01734,22.295,-0.08214,0.2428,True,True,True,True
0.7,4,3.3,0.7579,-0.317,0.034,22.293,-0.0749,0.3241,True,True,True,True
0.65,2,4.2,0.7859,-0.1746,0.03528,22.276,-0.14295,0.5958,True,True,True,True
0.0,2,3.6,0.7241,-0.1022,0.03252,22.269,-0.01685,0.6856,True,True,True,True
0.75,4,3.7,0.7494,-0.3184,0.03366,22.263,-0.13473,0.5424,True,True,True,True
0.75,4,0.1,0.3859,-0.0599,0.01733,22.259,-0.04022,2.9427,True,True,True,True
0.0,2,3.7,0.7236,-0.1056,0.03252,22.254,-0.22379,0.7102,True,True,True,True
0.75,2,4.7,0.8497,-0.1738,0.03821,22.239,-0.13154,0.7621,True,True,True,True
0.0,2,4.2,0.7864,-0.149,0.0354,22.214,-0.15792,0.753,True,True,True,True
0.0,2,3.3,0.7221,-0.0992,0.03252,22.208,-0.10007,0.3555,True,True,True,True
0.7,6,1.0,0.5362,-0.3804,0.02415,22.204,-0.06858,8.8915,True,True,True,True
0.75,4,3.4,0.7493,-0.2936,0.03377,22.189,-0.06133,7.252,True,True,True,True
0.75,6,0.8,0.5269,-0.303,0.02376,22.173,-0.04346,0.1903,True,True,True,True
0.75,6,1.9,0.6322,-0.3552,0.02853,22.161,-0.09187,1.0215,True,True,True,True
0.75,6,0.3,0.4426,-0.2765,0.01998,22.153,-0.19076,1.2519,True,True,True,True
0.7,4,3.7,0.7571,-0.361,0.0342,22.137,-0.15572,0.6216,True,True,True,True
0.75,6,2.0,0.6329,-0.3756,0.0286,22.133,-0.09022,2.7286,True,True,True,True
0.7,0,4.8,0.8685,-0.0324,0.03924,22.133,-0.06627,0.3169,True,True,True,True
0.7,6,1.9,0.6444,-0.4129,0.02913,22.124,-0.09082,0.9974,True,True,True,True
0.65,4,1.7,0.5612,-0.2237,0.02538,22.114,-0.04958,0.2178,True,True,True,True
0.0,2,3.5,0.7187,-0.1022,0.03252,22.103,-0.01511,1.5184,True,True,True,True
0.75,6,1.2,0.5456,-0.3165,0.02471,22.082,-0.06807,0.3625,True,True,True,True
0.7,6,0.3,0.4549,-0.3448,0.0206,22.082,-0.17434,1.1931,True,True,True,True
0.75,6,1.5,0.5718,-0.3416,0.02589,22.08,-0.1762,1.4999,True,True,True,True
0.75,4,3.8,0.8004,-0.3196,0.03626,22.074,-0.00723,0.026,True,True,True,True
0.65,0,5.0,0.8763,-0.0367,0.0397,22.073,-0.07623,3.259,True,True,True,True
0.65,0,5.2,0.8753,-0.0534,0.03967,22.068,-0.07152,0.2349,True,True,True,True
0.7,6,2.1,0.6456,-0.4302,0.02926,22.066,-0.00083,0.0112,True,True,True,True
0.7,6,1.5,0.5836,-0.4049,0.02647,22.053,-0.12163,0.9216,True,True,True,True
0.7,6,0.8,0.5366,-0.3688,0.02435,22.041,-0.04144,0.1838,True,True,True,True
0.65,0,4.8,0.8707,-0.0378,0.03952,22.033,-0.07659,0.2686,True,True,True,True
0.7,6,2.0,0.6454,-0.43,0.0293,22.026,-0.08653,14.8979,True,True,True,True
0.65,4,3.3,0.7647,-0.3345,0.03474,22.014,-0.06964,0.293,True,True,True,True
0.75,2,4.3,0.84,-0.1738,0.03818,22.001,-0.15825,0.6468,True,True,True,True
0.75,6,0.2,0.417,-0.2577,0.01899,21.965,-0.09388,0.735,True,True,True,True
0.75,6,0.1,0.417,-0.2577,0.01899,21.965,-0.03736,4.9194,True,True,True,True
0.7,2,4.7,0.8481,-0.1961,0.03862,21.96,-0.12569,0.9091,True,True,True,True
0.65,6,1.4,0.5836,-0.4256,0.0266,21.943,-0.07686,1.5979,True,True,True,True
0.65,6,0.3,0.4621,-0.381,0.02109,21.913,-0.1604,1.1691,True,True,True,True
0.65,6,1.9,0.6501,-0.4483,0.02968,21.9,-0.10714,1.1487,True,True,True,True
0.0,0,5.2,0.8511,-0.0384,0.03887,21.898,-0.08728,0.3459,True,True,True,True
0.65,4,3.7,0.7638,-0.3797,0.03488,21.898,-0.16033,0.6495,True,True,True,True
0.0,0,5.1,0.8511,-0.0384,0.03887,21.898,-0.08313,43.5228,True,True,True,True
0.75,6,-0.2,0.4158,-0.2502,0.01899,21.89,-0.07743,0.2818,True,True,True,True
0.0,4,1.7,0.568,-0.175,0.02595,21.886,-0.06065,0.2409,True,True,True,True
0.75,6,0.0,0.4155,-0.2502,0.01899,21.885,-0.03736,6.1281,True,True,True,True
0.0,4,2.7,0.6626,-0.2645,0.03029,21.875,-0.00711,0.0346,True,True,True,True
0.0,4,2.4,0.6626,-0.2636,0.03029,21.875,-0.08732,1.1861,True,True,True,True
0.65,6,1.3,0.5816,-0.4249,0.0266,21.868,-0.06415,0.5777,True,True,True,True
0.0,6,0.3,0.4566,-0.3622,0.02088,21.865,-0.15279,1.1484,True,True,True,True
0.7,6,0.2,0.4278,-0.3243,0.01957,21.862,-0.10229,0.7546,True,True,True,True
0.7,6,0.1,0.4278,-0.3243,0.01957,21.862,-0.02795,3.6801,True,True,True,True
0.65,6,1.0,0.5439,-0.4089,0.02488,21.859,-0.07205,7.2284,True,True,True,True
0.65,6,0.8,0.5443,-0.3948,0.0249,21.857,-0.02858,0.1195,True,True,True,True
0.0,6,0.8,0.5451,-0.3778,0.02495,21.843,-0.02194,0.0867,True,True,True,True
0.7,6,1.2,0.5532,-0.3839,0.02533,21.838,-0.052,0.2716,True,True,True,True
0.7,2,4.4,0.8412,-0.1966,0.03858,21.804,-0.01176,0.1677,True,True,True,True
0.7,6,-0.2,0.4266,-0.3187,0.01958,21.794,-0.09566,0.3442,True,True,True,True
0.75,6,2.5,0.6821,-0.4061,0.03131,21.786,-0.12276,5.6219,True,True,True,True
0.7,6,0.0,0.4262,-0.3187,0.01957,21.784,-0.02795,4.9339,True,True,True,True
0.0,6,1.0,0.5447,-0.3941,0.02501,21.778,-0.09143,11.6364,True,True,True,True
0.0,4,2.8,0.7037,-0.2651,0.03232,21.774,-0.18237,0.8697,True,True,True,True
0.65,2,4.6,0.8365,-0.204,0.03846,21.75,-0.00684,0.7198,True,True,True,True
0.65,2,4.7,0.8365,-0.2046,0.03846,21.75,-0.15922,0.7328,True,True,True,True
0.0,6,1.4,0.5863,-0.4093,0.02696,21.745,-0.07372,1.9305,True,True,True,True
0.0,6,1.3,0.5863,-0.4093,0.02696,21.745,-0.05918,0.4791,True,True,True,True
0.75,6,2.3,0.6827,-0.3818,0.03141,21.737,-0.04454,0.2529,True,True,True,True
0.65,6,2.0,0.6505,-0.4687,0.02994,21.726,-0.08653,6.8711,True,True,True,True
0.65,2,4.3,0.8339,-0.2032,0.03839,21.723,-0.14295,0.5958,True,True,True,True
0.0,4,3.2,0.7061,-0.306,0.03252,21.715,-0.04361,0.1411,True,True,True,True
0.65,2,4.5,0.8346,-0.2032,0.03845,21.703,-0.00372,0.2862,True,True,True,True
0.0,4,3.3,0.766,-0.3097,0.0353,21.698,-0.08261,0.2767,True,True,True,True
0.7,2,4.3,0.8272,-0.1946,0.03814,21.69,-0.15802,0.5396,True,True,True,True
0.0,0,5.0,0.8507,-0.0218,0.03923,21.686,-0.08313,43.5228,True,True,True,True
0.0,0,4.8,0.8507,-0.0218,0.03923,21.686,-0.09707,0.4168,True,True,True,True
0.0,4,2.9,0.7045,-0.301,0.03252,21.667,-0.17955,43.3444,True,True,True,True
0.0,4,3.1,0.7041,-0.301,0.03252,21.655,-0.02521,3.2326,True,True,True,True
0.65,6,0.2,0.4343,-0.3584,0.02006,21.65,-0.11313,0.8116,True,True,True,True
0.65,6,0.1,0.4343,-0.3584,0.02006,21.65,-0.02943,4.6892,True,True,True,True
0.65,4,3.8,0.8141,-0.3804,0.0376,21.648,-0.00577,0.0199,True,True,True,True
0.75,6,0.7,0.4815,-0.2948,0.02225,21.637,-0.04106,0.183,True,True,True,True
0.75,6,2.8,0.731,-0.419,0.0338,21.629,-0.06992,0.311,True,True,True,True
0.7,6,2.5,0.6939,-0.4641,0.03209,21.622,-0.12273,3.7724,True,True,True,True
0.65,6,-0.2,0.4339,-0.3525,0.02007,21.621,-0.09486,0.3429,True,True,True,True
0.7,6,2.8,0.7452,-0.4748,0.03448,21.611,-0.08521,0.3874,True,True,True,True
0.0,6,0.2,0.4293,-0.3411,0.01986,21.61,-0.10552,0.7731,True,True,True,True
0.0,6,0.1,0.4293,-0.3411,0.01986,21.61,-0.03048,8.8346,True,True,True,True
0.7,6,0.7,0.4915,-0.3605,0.02276,21.6,-0.04144,0.1838,True,True,True,True
0.7,6,0.6,0.4915,-0.3605,0.02276,21.6,-0.00824,0.0477,True,True,True,True
0.75,4,4.2,0.8187,-0.3313,0.03791,21.597,-0.08794,0.2924,True,True,True,True
0.65,6,0.0,0.433,-0.3525,0.02006,21.587,-0.02943,7.8285,True,True,True,True
0.7,6,2.3,0.6948,-0.4391,0.03219,21.583,-0.04282,0.2475,True,True,True,True
0.0,4,3.7,0.7626,-0.3611,0.03534,21.579,-0.19125,0.7526,True,True,True,True
0.0,6,-0.2,0.4294,-0.335,0.0199,21.577,-0.10082,0.3515,True,True,True,True
0.65,6,1.2,0.5614,-0.4127,0.02605,21.553,-0.06519,0.3719,True,True,True,True
0.65,6,1.5,0.5912,-0.4403,0.02744,21.544,-0.14704,1.0714,True,True,True,True
0.0,6,0.0,0.4286,-0.335,0.01989,21.542,-0.03048,32.6715,True,True,True,True
0.75,6,1.1,0.5286,-0.3144,0.02454,21.537,-0.02271,0.2326,True,True,True,True
0.0,4,3.8,0.8149,-0.3638,0.03785,21.529,-0.02397,0.0805,True,True,True,True
0.75,4,3.9,0.8051,-0.3198,0.03742,21.515,-0.00053,0.0226,True,True,True,True
0.75,4,4.1,0.8047,-0.3197,0.03741,21.509,-0.05792,0.8542,True,True,True,True
0.75,6,2.2,0.6474,-0.3729,0.03013,21.49,-0.04305,0.1964,True,True,True,True
0.0,6,1.9,0.6534,-0.4278,0.03042,21.479,-0.1065,1.661,True,True,True,True
0.0,2,4.6,0.8307,-0.183,0.03868,21.476,-0.0221,2.6805,True,True,True,True
0.0,2,4.7,0.8307,-0.1865,0.03868,21.476,-0.20986,1.3621,True,True,True,True
0.75,6,2.9,0.7316,-0.4204,0.0341,21.455,-0.0358,10.5473,True,True,True,True
0.0,2,4.5,0.8291,-0.1821,0.03871,21.42,-0.00421,0.5102,True,True,True,True
0.0,2,4.3,0.8291,-0.1806,0.03871,21.42,-0.16536,0.7747,True,True,True,True
0.7,6,1.1,0.5381,-0.3825,0.02513,21.418,-0.01743,0.2055,True,True,True,True
0.0,6,2.1,0.6551,-0.4484,0.03059,21.416,-0.00083,0.01,True,True,True,True
0.0,6,1.5,0.5939,-0.4241,0.02778,21.379,-0.15396,1.0964,True,True,True,True
0.7,4,4.1,0.8154,-0.3605,0.03814,21.378,-0.05989,19.9484,True,True,True,True
0.7,4,4.2,0.8154,-0.3725,0.03814,21.378,-0.09003,0.4509,True,True,True,True
0.0,6,2.0,0.6538,-0.4482,0.03059,21.372,-0.10285,11.5571,True,True,True,True
0.0,6,1.2,0.5616,-0.3975,0.02629,21.365,-0.06634,0.3348,True,True,True,True
