Flap Positions,Flap Angles,alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
0.65,2,2,0,0.571468,0.010357,0.013343,0.0237,0,0,-0.051179,0,0,15.6647,0.1965
0.65,2,2.5,0,0.62444,0.01243,0.013783,0.026212,0,0,-0.081587,0,0,14.9855,0.2048
0.65,2,3,0,0.67732,0.014695,0.014252,0.028948,0,0,-0.112015,0,0,14.3887,0.2119
0.65,2,3.5,0,0.730099,0.017153,0.014758,0.03191,0,0,-0.14245,0,0,13.8588,0.2179
0.65,2,4,0,0.782767,0.0198,0.015302,0.035102,0,0,-0.172884,0,0,13.3845,0.2231
0.65,2,4.5,0,0.835316,0.022636,0.015892,0.038528,0,0,-0.203306,0,0,12.9566,0.2277
0.65,2,5,0,0.887737,0.025658,0.016545,0.042202,0,0,-0.233706,0,0,12.5683,0.2318
0.65,2,5.5,0,0.94002,0.028864,0.017259,0.046123,0,0,-0.264074,0,0,12.2138,0.2354
0.65,2,6,0,0.992157,0.032253,0.018029,0.050282,0,0,-0.2944,0,0,11.8885,0.2387
0.65,2,6.5,0,1.04414,0.035822,0.01889,0.054712,0,0,-0.324673,0,0,11.5888,0.2416
0.65,2,7,0,1.095958,0.039568,0.01985,0.059419,0,0,-0.354882,0,0,11.3115,0.2443
0.65,2,7.5,0,1.147605,0.04349,0.020999,0.064489,0,0,-0.385017,0,0,11.0541,0.2468
0.65,2,8,0,1.199071,0.047584,0.022355,0.069938,0,0,-0.415064,0,0,10.8142,0.2491
0.65,2,8.5,0,1.250347,0.051847,0.023894,0.075741,0,0,-0.445013,0,0,10.5902,0.2512
0.65,2,9,0,1.301426,0.056277,0.025717,0.081995,0,0,-0.474877,0,0,10.3803,0.2532
0.65,2,9.5,0,1.352299,0.060871,0.027712,0.088583,0,0,-0.504648,0,0,10.1831,0.255
0.65,4,-3,0,0.07634,0.000226,0.014893,0.015119,0,0,0.042444,0,0,42.859,0.069
0.65,4,-2.5,0,0.129759,0.000546,0.013987,0.014533,0,0,0.012376,0,0,32.8738,0.1612
0.65,4,-2,0,0.183171,0.001066,0.014008,0.015074,0,0,-0.017847,0,0,27.6688,0.1997
0.65,4,-1.5,0,0.236567,0.001785,0.013823,0.015609,0,0,-0.047968,0,0,24.3467,0.2208
0.65,4,-1,0,0.289937,0.002704,0.013087,0.015791,0,0,-0.0781,0,0,21.992,0.2341
0.65,4,-0.5,0,0.343273,0.003821,0.012707,0.016528,0,0,-0.10832,0,0,20.2115,0.2433
0.65,4,0,0,0.396566,0.005136,0.012648,0.017785,0,0,-0.138619,0,0,18.8044,0.25
0.65,4,0.5,0,0.449805,0.006649,0.012952,0.019602,0,0,-0.168966,0,0,17.6565,0.2552
0.65,4,1,0,0.502982,0.008359,0.013313,0.021673,0,0,-0.199347,0,0,16.6971,0.2593
0.65,4,1.5,0,0.556087,0.010265,0.013682,0.023947,0,0,-0.229754,0,0,15.8799,0.2626
0.65,4,2,0,0.609111,0.012366,0.014049,0.026415,0,0,-0.260171,0,0,15.1729,0.2653
0.65,4,2.5,0,0.662046,0.01466,0.014416,0.029076,0,0,-0.290587,0,0,14.5537,0.2676
0.65,4,3,0,0.714882,0.017147,0.014815,0.031962,0,0,-0.320983,0,0,14.0056,0.2696
0.65,4,3.5,0,0.76761,0.019824,0.015292,0.035116,0,0,-0.351349,0,0,13.516,0.2714
0.65,4,4,0,0.82022,0.02269,0.015832,0.038523,0,0,-0.381678,0,0,13.0753,0.2729
0.65,4,4.5,0,0.872705,0.025744,0.01644,0.042184,0,0,-0.411964,0,0,12.6761,0.2743
0.65,4,5,0,0.925054,0.028983,0.017104,0.046087,0,0,-0.442199,0,0,12.3122,0.2756
0.65,4,5.5,0,0.97726,0.032405,0.017822,0.050227,0,0,-0.472371,0,0,11.9788,0.2767
0.65,4,6,0,1.029313,0.036008,0.018593,0.054601,0,0,-0.502468,0,0,11.672,0.2777
0.65,4,6.5,0,1.081205,0.039789,0.019462,0.059251,0,0,-0.532481,0,0,11.3884,0.2787
0.65,4,7,0,1.132927,0.043747,0.020419,0.064166,0,0,-0.562397,0,0,11.1254,0.2796
0.65,4,7.5,0,1.18447,0.047878,0.021552,0.06943,0,0,-0.592201,0,0,10.8807,0.2804
0.65,4,8,0,1.235826,0.052179,0.022898,0.075077,0,0,-0.621884,0,0,10.6522,0.2812
0.65,4,8.5,0,1.286987,0.056648,0.024487,0.081135,0,0,-0.651457,0,0,10.4383,0.2819
0.65,4,9,0,1.337943,0.061282,0.026344,0.087626,0,0,-0.680911,0,0,10.2376,0.2826
0.65,4,9.5,0,1.388687,0.066077,0.028482,0.094558,0,0,-0.710298,0,0,10.0488,0.2833
0.65,6,-3.5,0,0.060672,0.000195,0.017803,0.017998,0,0,-0.135579,0,0,48.0756,0.6431
0.65,6,-3,0,0.114115,0.00054,0.01528,0.01582,0,0,-0.165639,0,0,35.0548,0.4792
0.65,6,-2.5,0,0.167553,0.001084,0.014653,0.015737,0,0,-0.195997,0,0,28.9295,0.4199
0.65,6,-2,0,0.220979,0.001828,0.014711,0.016539,0,0,-0.226325,0,0,25.1908,0.3893
0.65,6,-1.5,0,0.274381,0.002771,0.014498,0.017269,0,0,-0.256566,0,0,22.6069,0.3706
0.65,6,-1,0,0.327752,0.003914,0.013796,0.017709,0,0,-0.286833,0,0,20.6845,0.358
0.65,6,-0.5,0,0.381081,0.005255,0.01352,0.018774,0,0,-0.317208,0,0,19.1827,0.3489
0.65,6,0,0,0.43436,0.006794,0.013487,0.020281,0,0,-0.347634,0,0,17.9677,0.3421
0.65,6,0.5,0,0.487578,0.00853,0.013812,0.022343,0,0,-0.378074,0,0,16.9588,0.3368
0.65,6,1,0,0.540728,0.010463,0.014182,0.024645,0,0,-0.408514,0,0,16.1038,0.3325
0.65,6,1.5,0,0.593799,0.012592,0.014591,0.027183,0,0,-0.438943,0,0,15.3673,0.3291
0.65,6,2,0,0.646783,0.014915,0.014999,0.029914,0,0,-0.469358,0,0,14.7244,0.3262
0.65,6,2.5,0,0.699671,0.01743,0.01538,0.03281,0,0,-0.499749,0,0,14.157,0.3238
0.65,6,3,0,0.752453,0.020137,0.01579,0.035927,0,0,-0.530094,0,0,13.6514,0.3217
0.65,6,3.5,0,0.80512,0.023034,0.016253,0.039287,0,0,-0.560378,0,0,13.1974,0.32
0.65,6,4,0,0.857663,0.026118,0.016768,0.042886,0,0,-0.590595,0,0,12.7867,0.3184
0.65,6,4.5,0,0.910074,0.029389,0.017332,0.046721,0,0,-0.620734,0,0,12.4131,0.3171
0.65,6,5,0,0.962343,0.032843,0.017951,0.050794,0,0,-0.650786,0,0,12.0713,0.316
0.65,6,5.5,0,1.014462,0.036479,0.018639,0.055118,0,0,-0.680741,0,0,11.7571,0.3149
0.65,6,6,0,1.066421,0.040295,0.019399,0.059694,0,0,-0.71059,0,0,11.4671,0.3141
0.65,6,6.5,0,1.118213,0.044287,0.020261,0.064549,0,0,-0.740323,0,0,11.1984,0.3133
0.65,6,7,0,1.169829,0.048454,0.021197,0.069651,0,0,-0.769922,0,0,10.9486,0.3126
0.65,6,7.5,0,1.221259,0.052792,0.022314,0.075106,0,0,-0.799374,0,0,10.7155,0.312
0.65,6,8,0,1.272496,0.057299,0.023673,0.080971,0,0,-0.828682,0,0,10.4976,0.3114
0.65,6,8.5,0,1.323531,0.061971,0.025238,0.087209,0,0,-0.857831,0,0,10.2932,0.311
0.65,6,9,0,1.374356,0.066805,0.027359,0.094165,0,0,-0.88696,0,0,10.1011,0.3106
0.65,6,9.5,0,1.424963,0.071799,0.029556,0.101355,0,0,-0.915912,0,0,9.9201,0.3102
0.65,8,-2.5,0,0.205448,0.00216,0.015549,0.017709,0,0,-0.404555,0,0,26.1256,0.5836
0.65,8,-2,0,0.258878,0.003128,0.015799,0.018928,0,0,-0.434935,0,0,23.274,0.5236
0.65,8,-1.5,0,0.312277,0.004296,0.015468,0.019765,0,0,-0.465334,0,0,21.1908,0.4842
0.65,8,-1,0,0.365638,0.005664,0.01475,0.020413,0,0,-0.495787,0,0,19.5836,0.4563
0.65,8,-0.5,0,0.418951,0.007229,0.014503,0.021732,0,0,-0.526321,0,0,18.2952,0.4356
0.65,8,0,0,0.472206,0.008993,0.014517,0.02351,0,0,-0.556845,0,0,17.2326,0.4195
0.65,8,0.5,0,0.525395,0.010953,0.014873,0.025826,0,0,-0.587351,0,0,16.3371,0.4067
0.65,8,1,0,0.578508,0.013109,0.015281,0.02839,0,0,-0.617824,0,0,15.5691,0.3963
0.65,8,1.5,0,0.631536,0.01546,0.015732,0.031192,0,0,-0.648259,0,0,14.9011,0.3877
0.65,8,2,0,0.684469,0.018004,0.016195,0.034199,0,0,-0.67865,0,0,14.3133,0.3804
0.65,8,2.5,0,0.7373,0.02074,0.016694,0.037434,0,0,-0.708985,0,0,13.791,0.3742
0.65,8,3,0,0.790018,0.023666,0.01717,0.040837,0,0,-0.73926,0,0,13.3229,0.3689
0.65,8,3.5,0,0.842615,0.026781,0.017587,0.044369,0,0,-0.769456,0,0,12.9004,0.3642
0.65,8,4,0,0.895081,0.030083,0.018016,0.048099,0,0,-0.799548,0,0,12.5166,0.3601
0.65,8,4.5,0,0.947409,0.033569,0.018512,0.052081,0,0,-0.829525,0,0,12.166,0.3566
0.65,8,5,0,0.999588,0.037238,0.019087,0.056325,0,0,-0.859378,0,0,11.8442,0.3534
0.65,8,5.5,0,1.05161,0.041087,0.019751,0.060838,0,0,-0.889101,0,0,11.5476,0.3505
0.65,8,6,0,1.103467,0.045113,0.020484,0.065597,0,0,-0.918684,0,0,11.273,0.3479
0.65,8,6.5,0,1.15515,0.049314,0.021278,0.070593,0,0,-0.948106,0,0,11.0179,0.3456
0.65,8,7,0,1.206649,0.053688,0.022162,0.07585,0,0,-0.977361,0,0,10.7802,0.3436
0.65,8,7.5,0,1.257958,0.058231,0.023279,0.08151,0,0,-1.006447,0,0,10.5581,0.3417
0.65,8,8,0,1.309066,0.06294,0.024595,0.087535,0,0,-1.035338,0,0,10.3499,0.34
0.65,8,8.5,0,1.359967,0.067813,0.026498,0.09431,0,0,-1.064196,0,0,10.1544,0.3384
0.65,8,9,0,1.410651,0.072845,0.028521,0.101367,0,0,-1.092825,0,0,9.9703,0.337
0.65,8,9.5,0,1.461111,0.078034,0.030957,0.108991,0,0,-1.121414,0,0,9.7966,0.3357
0.7,10,-1.5,0,0.337941,0.005637,0.015971,0.021608,0,0,-0.610461,0,0,20.3703,0.5489
0.7,10,-1,0,0.391288,0.007156,0.015393,0.022549,0,0,-0.640955,0,0,18.9308,0.514
0.7,10,-0.5,0,0.444583,0.008873,0.015378,0.024251,0,0,-0.671479,0,0,17.7599,0.4875
0.7,10,0,0,0.497816,0.010788,0.01555,0.026338,0,0,-0.702008,0,0,16.7835,0.4667
0.7,10,0.5,0,0.550977,0.012899,0.015987,0.028886,0,0,-0.732534,0,0,15.9533,0.45
0.7,10,1,0,0.604058,0.015205,0.016396,0.0316,0,0,-0.763036,0,0,15.2363,0.4362
0.7,10,1.5,0,0.65705,0.017705,0.016789,0.034494,0,0,-0.793492,0,0,14.6089,0.4247
0.7,10,2,0,0.709942,0.020398,0.017152,0.03755,0,0,-0.823886,0,0,14.0542,0.4149
0.7,10,2.5,0,0.762727,0.023282,0.017521,0.040803,0,0,-0.854198,0,0,13.5592,0.4065
0.7,10,3,0,0.815395,0.026356,0.017938,0.044293,0,0,-0.884409,0,0,13.114,0.3992
0.7,10,3.5,0,0.867937,0.029617,0.01841,0.048027,0,0,-0.914509,0,0,12.7108,0.3929
0.7,10,4,0,0.920345,0.033063,0.018888,0.051951,0,0,-0.944491,0,0,12.3436,0.3873
0.7,10,4.5,0,0.972609,0.036694,0.019333,0.056026,0,0,-0.974335,0,0,12.0074,0.3823
0.7,10,5,0,1.02472,0.040505,0.019781,0.060286,0,0,-1.004021,0,0,11.6981,0.3778
0.7,10,5.5,0,1.07667,0.044495,0.020262,0.064757,0,0,-1.033535,0,0,11.4124,0.3739
0.7,10,6,0,1.12845,0.048662,0.020807,0.069469,0,0,-1.062869,0,0,11.1475,0.3703
0.7,10,6.5,0,1.180051,0.053002,0.021451,0.074453,0,0,-1.092011,0,0,10.901,0.367
0.7,10,7,0,1.231466,0.057513,0.022223,0.079736,0,0,-1.12096,0,0,10.671,0.3641
0.7,10,7.5,0,1.282685,0.062191,0.023466,0.085657,0,0,-1.149782,0,0,10.4558,0.3614
0.7,10,8,0,1.3337,0.067035,0.025285,0.092319,0,0,-1.178542,0,0,10.2539,0.359
0.7,10,8.5,0,1.384502,0.072039,0.027266,0.099306,0,0,-1.207114,0,0,10.064,0.3567
0.7,10,9,0,1.435085,0.077203,0.029539,0.106741,0,0,-1.235521,0,0,9.8851,0.3547
0.7,10,9.5,0,1.485438,0.08252,0.031845,0.114365,0,0,-1.263693,0,0,9.7161,0.3528
0.7,2,-2.5,0,0.089646,0.000561,0.013376,0.013936,0,0,0.233031,0,0,39.5504,-0.3506
0.7,2,-2,0,0.143034,0.000844,0.013526,0.01437,0,0,0.203062,0,0,31.3111,-0.1104
0.7,2,-1.5,0,0.196412,0.001326,0.013316,0.014642,0,0,0.173038,0,0,26.7198,-0.0008
0.7,2,-1,0,0.249773,0.002007,0.012609,0.014616,0,0,0.14306,0,0,23.6944,0.062
0.7,2,-0.5,0,0.303106,0.002886,0.012067,0.014953,0,0,0.113008,0,0,21.509,0.1027
0.7,2,0,0,0.356402,0.003964,0.01197,0.015934,0,0,0.082855,0,0,19.8357,0.1312
0.7,2,0.5,0,0.409652,0.00524,0.012211,0.01745,0,0,0.052619,0,0,18.5016,0.1523
0.7,2,1,0,0.462847,0.006712,0.012563,0.019275,0,0,0.022324,0,0,17.406,0.1686
0.7,2,1.5,0,0.515978,0.008381,0.012946,0.021327,0,0,-0.00802,0,0,16.4855,0.1815
0.7,2,2,0,0.569035,0.010245,0.013345,0.02359,0,0,-0.038405,0,0,15.6981,0.192
0.7,2,2.5,0,0.622009,0.012304,0.013773,0.026077,0,0,-0.068818,0,0,15.0148,0.2007
0.7,2,3,0,0.674892,0.014555,0.014233,0.028788,0,0,-0.099249,0,0,14.4145,0.2081
0.7,2,3.5,0,0.727673,0.016998,0.014749,0.031747,0,0,-0.129688,0,0,13.8819,0.2145
0.7,2,4,0,0.780345,0.019631,0.015308,0.034939,0,0,-0.160129,0,0,13.4052,0.2199
0.7,2,4.5,0,0.832897,0.022453,0.015905,0.038358,0,0,-0.19056,0,0,12.9754,0.2247
0.7,2,5,0,0.885322,0.025461,0.016549,0.042009,0,0,-0.220971,0,0,12.5854,0.229
0.7,2,5.5,0,0.937609,0.028653,0.017244,0.045897,0,0,-0.25135,0,0,12.2294,0.2328
0.7,2,6,0,0.989751,0.032028,0.018004,0.050032,0,0,-0.281689,0,0,11.903,0.2362
0.7,2,6.5,0,1.041739,0.035583,0.018858,0.054441,0,0,-0.311976,0,0,11.6021,0.2393
0.7,2,7,0,1.093563,0.039315,0.019808,0.059123,0,0,-0.3422,0,0,11.3239,0.2421
0.7,2,7.5,0,1.145216,0.043223,0.020946,0.064169,0,0,-0.372349,0,0,11.0656,0.2447
0.7,2,8,0,1.196688,0.047303,0.022298,0.069601,0,0,-0.402416,0,0,10.825,0.2471
0.7,2,8.5,0,1.247971,0.051553,0.02385,0.075403,0,0,-0.432392,0,0,10.6002,0.2493
0.7,2,9,0,1.299057,0.05597,0.025677,0.081647,0,0,-0.462283,0,0,10.3897,0.2513
0.7,2,9.5,0,1.349938,0.06055,0.027683,0.088233,0,0,-0.492087,0,0,10.192,0.2532
0.7,4,-3,0,0.071464,0.000224,0.014764,0.014988,0,0,0.067856,0,0,44.2969,-0.0114
0.7,4,-2.5,0,0.12488,0.000516,0.013929,0.014445,0,0,0.037831,0,0,33.5098,0.1188
0.7,4,-2,0,0.178289,0.001007,0.013952,0.014959,0,0,0.007624,0,0,28.045,0.171
0.7,4,-1.5,0,0.231683,0.001698,0.013752,0.015449,0,0,-0.022494,0,0,24.602,0.1992
0.7,4,-1,0,0.285053,0.002587,0.013025,0.015612,0,0,-0.052604,0,0,22.1797,0.2168
0.7,4,-0.5,0,0.338389,0.003675,0.012625,0.0163,0,0,-0.082805,0,0,20.3568,0.2288
0.7,4,0,0,0.391682,0.004962,0.012563,0.017525,0,0,-0.113087,0,0,18.9213,0.2376
0.7,4,0.5,0,0.444923,0.006446,0.012839,0.019285,0,0,-0.143431,0,0,17.7531,0.2443
0.7,4,1,0,0.498102,0.008127,0.013197,0.021324,0,0,-0.173802,0,0,16.7787,0.2496
0.7,4,1.5,0,0.551211,0.010004,0.013605,0.023609,0,0,-0.204192,0,0,15.9499,0.2539
0.7,4,2,0,0.60424,0.012076,0.014009,0.026084,0,0,-0.2346,0,0,15.234,0.2574
0.7,4,2.5,0,0.657179,0.014341,0.014418,0.028759,0,0,-0.265013,0,0,14.6075,0.2604
0.7,4,3,0,0.710021,0.016799,0.014838,0.031637,0,0,-0.295417,0,0,14.0534,0.2629
0.7,4,3.5,0,0.762755,0.019448,0.015291,0.034738,0,0,-0.325798,0,0,13.5589,0.2652
0.7,4,4,0,0.815374,0.022286,0.0158,0.038086,0,0,-0.356145,0,0,13.1141,0.2671
0.7,4,4.5,0,0.867867,0.025311,0.016382,0.041693,0,0,-0.38645,0,0,12.7113,0.2689
0.7,4,5,0,0.920225,0.028521,0.017029,0.04555,0,0,-0.416705,0,0,12.3444,0.2704
0.7,4,5.5,0,0.972441,0.031915,0.017731,0.049647,0,0,-0.4469,0,0,12.0084,0.2718
0.7,4,6,0,1.024505,0.03549,0.018476,0.053967,0,0,-0.477021,0,0,11.6993,0.2731
0.7,4,6.5,0,1.076409,0.039244,0.01931,0.058555,0,0,-0.507057,0,0,11.4138,0.2743
0.7,4,7,0,1.128143,0.043174,0.02024,0.063414,0,0,-0.536999,0,0,11.149,0.2754
0.7,4,7.5,0,1.179699,0.047278,0.021362,0.06864,0,0,-0.566835,0,0,10.9027,0.2764
0.7,4,8,0,1.23107,0.051552,0.022727,0.074279,0,0,-0.596564,0,0,10.6728,0.2774
0.7,4,8.5,0,1.282245,0.055994,0.024312,0.080306,0,0,-0.62618,0,0,10.4576,0.2783
0.7,4,9,0,1.333217,0.060601,0.026201,0.086802,0,0,-0.655697,0,0,10.2557,0.2791
0.7,4,9.5,0,1.383978,0.06537,0.028319,0.093689,0,0,-0.685128,0,0,10.0659,0.28
0.7,6,-3.5,0,0.053339,0.000137,0.017563,0.0177,0,0,-0.097455,0,0,51.2736,0.5601
0.7,6,-3,0,0.106778,0.000438,0.015228,0.015666,0,0,-0.127498,0,0,36.2391,0.4266
0.7,6,-2.5,0,0.160213,0.000939,0.014485,0.015423,0,0,-0.15779,0,0,29.5848,0.3821
0.7,6,-2,0,0.213636,0.001639,0.014535,0.016174,0,0,-0.188096,0,0,25.6201,0.3598
0.7,6,-1.5,0,0.267038,0.002539,0.014305,0.016844,0,0,-0.218327,0,0,22.9156,0.3465
0.7,6,-1,0,0.320408,0.003637,0.013559,0.017197,0,0,-0.248581,0,0,20.9202,0.3376
0.7,6,-0.5,0,0.373739,0.004935,0.01329,0.018225,0,0,-0.278912,0,0,19.3702,0.3313
0.7,6,0,0,0.427021,0.006431,0.013275,0.019706,0,0,-0.309301,0,0,18.1215,0.3266
0.7,6,0.5,0,0.480243,0.008124,0.013591,0.021714,0,0,-0.339725,0,0,17.0878,0.3229
0.7,6,1,0,0.533398,0.010013,0.013997,0.02401,0,0,-0.37014,0,0,16.2141,0.32
0.7,6,1.5,0,0.586477,0.012098,0.014442,0.02654,0,0,-0.400554,0,0,15.463,0.3176
0.7,6,2,0,0.639468,0.014378,0.014893,0.029271,0,0,-0.430961,0,0,14.8084,0.3157
0.7,6,2.5,0,0.692365,0.01685,0.015328,0.032178,0,0,-0.461352,0,0,14.2315,0.314
0.7,6,3,0,0.745157,0.019514,0.01573,0.035244,0,0,-0.491713,0,0,13.7181,0.3126
0.7,6,3.5,0,0.797836,0.022368,0.016164,0.038531,0,0,-0.522021,0,0,13.2575,0.3115
0.7,6,4,0,0.850392,0.02541,0.016655,0.042064,0,0,-0.552264,0,0,12.8413,0.3105
0.7,6,4.5,0,0.902817,0.028638,0.017202,0.04584,0,0,-0.582433,0,0,12.4629,0.3096
0.7,6,5,0,0.955102,0.03205,0.0178,0.04985,0,0,-0.612519,0,0,12.1169,0.3088
0.7,6,5.5,0,1.007238,0.035644,0.018456,0.0541,0,0,-0.64251,0,0,11.7992,0.3082
0.7,6,6,0,1.059215,0.039418,0.019168,0.058587,0,0,-0.672396,0,0,11.506,0.3076
0.7,6,6.5,0,1.111027,0.043369,0.01998,0.063349,0,0,-0.702165,0,0,11.2345,0.3071
0.7,6,7,0,1.162662,0.047495,0.020887,0.068382,0,0,-0.731809,0,0,10.9822,0.3067
0.7,6,7.5,0,1.214115,0.051792,0.022001,0.073794,0,0,-0.761316,0,0,10.747,0.3064
0.7,6,8,0,1.265374,0.056259,0.023343,0.079602,0,0,-0.79068,0,0,10.5271,0.3061
0.7,6,8.5,0,1.316434,0.060891,0.025002,0.085893,0,0,-0.819937,0,0,10.3209,0.3058
0.7,6,9,0,1.367284,0.065686,0.02708,0.092766,0,0,-0.849124,0,0,10.1272,0.3056
0.7,6,9.5,0,1.417917,0.07064,0.029409,0.100049,0,0,-0.878225,0,0,9.9447,0.3054
0.7,8,-3.5,0,0.08873,0.00061,0.018319,0.018929,0,0,-0.292805,0,0,39.7542,0.8602
0.7,8,-3,0,0.142186,0.001121,0.015611,0.016731,0,0,-0.323075,0,0,31.4043,0.647
0.7,8,-2.5,0,0.195633,0.001831,0.015281,0.017112,0,0,-0.353545,0,0,26.773,0.5504
0.7,8,-2,0,0.249061,0.002742,0.015419,0.01816,0,0,-0.383946,0,0,23.7282,0.4952
0.7,8,-1.5,0,0.302461,0.003851,0.015061,0.018912,0,0,-0.414329,0,0,21.5319,0.4595
0.7,8,-1,0,0.355825,0.00516,0.014337,0.019497,0,0,-0.44473,0,0,19.8518,0.4346
0.7,8,-0.5,0,0.409142,0.006667,0.014146,0.020813,0,0,-0.475189,0,0,18.5132,0.4161
0.7,8,0,0,0.462403,0.008372,0.014211,0.022583,0,0,-0.50566,0,0,17.4144,0.402
0.7,8,0.5,0,0.515599,0.010274,0.014625,0.0249,0,0,-0.536126,0,0,16.4916,0.3908
0.7,8,1,0,0.568722,0.012372,0.015063,0.027436,0,0,-0.56658,0,0,15.7025,0.3817
0.7,8,1.5,0,0.621761,0.014665,0.015495,0.030161,0,0,-0.597019,0,0,15.0178,0.3742
0.7,8,2,0,0.674707,0.017152,0.015898,0.03305,0,0,-0.627427,0,0,14.4165,0.3679
0.7,8,2.5,0,0.727552,0.019831,0.016279,0.03611,0,0,-0.657789,0,0,13.8831,0.3625
0.7,8,3,0,0.780287,0.0227,0.016674,0.039374,0,0,-0.688083,0,0,13.4057,0.3579
0.7,8,3.5,0,0.832901,0.025758,0.017103,0.04286,0,0,-0.718294,0,0,12.9754,0.3539
0.7,8,4,0,0.885388,0.029003,0.017572,0.046575,0,0,-0.74841,0,0,12.5849,0.3504
0.7,8,4.5,0,0.937736,0.032433,0.018088,0.050521,0,0,-0.77842,0,0,12.2286,0.3473
0.7,8,5,0,0.989938,0.036045,0.018658,0.054703,0,0,-0.808315,0,0,11.9018,0.3446
0.7,8,5.5,0,1.041985,0.039838,0.019285,0.059123,0,0,-0.838082,0,0,11.6008,0.3421
0.7,8,6,0,1.093868,0.043809,0.019985,0.063794,0,0,-0.867715,0,0,11.3223,0.3399
0.7,8,6.5,0,1.145579,0.047956,0.020791,0.068747,0,0,-0.897202,0,0,11.0638,0.338
0.7,8,7,0,1.197108,0.052275,0.021765,0.07404,0,0,-0.926552,0,0,10.8231,0.3362
0.7,8,7.5,0,1.248447,0.056764,0.022961,0.079726,0,0,-0.955746,0,0,10.5982,0.3347
0.7,8,8,0,1.299589,0.061421,0.024385,0.085805,0,0,-0.984772,0,0,10.3876,0.3332
0.7,8,8.5,0,1.350524,0.06624,0.026105,0.092346,0,0,-1.01366,0,0,10.1898,0.3319
